Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1961","1961","gigagrams","24.852","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1962","1962","gigagrams","27.0072","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1963","1963","gigagrams","26.6648","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1964","1964","gigagrams","27.092","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1965","1965","gigagrams","27.6464","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1966","1966","gigagrams","27.712","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1967","1967","gigagrams","24.4704","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1968","1968","gigagrams","23.9216","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1969","1969","gigagrams","22.812","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1970","1970","gigagrams","22.3056","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1971","1971","gigagrams","22.6864","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1972","1972","gigagrams","22.896","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1973","1973","gigagrams","22.6768","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1974","1974","gigagrams","22.756","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1975","1975","gigagrams","21.6896","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1976","1976","gigagrams","21.2256","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1977","1977","gigagrams","20.6552","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1978","1978","gigagrams","20.208","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1979","1979","gigagrams","19.3424","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1980","1980","gigagrams","18.8768","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1981","1981","gigagrams","18.7488","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1982","1982","gigagrams","19.5944","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1983","1983","gigagrams","20.868","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1984","1984","gigagrams","22.5056","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1985","1985","gigagrams","24.6544","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1986","1986","gigagrams","26.432","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1987","1987","gigagrams","29.3744","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1988","1988","gigagrams","34.4048","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1989","1989","gigagrams","39.9296","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1990","1990","gigagrams","45.7112","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1991","1991","gigagrams","46.9096","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1992","1992","gigagrams","47.8608","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1993","1993","gigagrams","48.8736","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1994","1994","gigagrams","47.732","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1995","1995","gigagrams","45.9176","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1996","1996","gigagrams","44.3472","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1997","1997","gigagrams","42.7352","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1998","1998","gigagrams","44.6176","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","1999","1999","gigagrams","44.4728","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2000","2000","gigagrams","60.44","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2001","2001","gigagrams","58.6424","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2002","2002","gigagrams","57.6768","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2003","2003","gigagrams","54.7912","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2004","2004","gigagrams","54.2176","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2005","2005","gigagrams","51.1376","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2006","2006","gigagrams","47.7856","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2007","2007","gigagrams","44.1728","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2008","2008","gigagrams","40.4912","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2009","2009","gigagrams","38.224","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2010","2010","gigagrams","37.9632","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2011","2011","gigagrams","38.64","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2012","2012","gigagrams","41.36","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2013","2013","gigagrams","40.056","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2014","2014","gigagrams","40.7744","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2015","2015","gigagrams","41.1096","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2016","2016","gigagrams","41.4336","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2030","2030","gigagrams","46.1899","Fc","Calculated data"
"GE","Enteric Fermentation","104","Ireland","72254","Emissions (CH4) (Enteric)","976","Sheep","2050","2050","gigagrams","44.3008","Fc","Calculated data"
"GE","Enteric Fermentation","5000","World","72254","Emissions (CH4) (Enteric)","976","Sheep","1961","1961","gigagrams","6477.5033","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5000","World","72254","Emissions (CH4) (Enteric)","976","Sheep","1962","1962","gigagrams","6518.2432","A","Aggregate, may include official, semi-official, estimated or calculated data"
