Domain Code|Domain|Area Code|Area|Element Code|Element|Item Code|Item|Year Code|Year|Unit|Value|Flag|Flag Description
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1961|1961|Head|89330|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1962|1962|Head|87543|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1963|1963|Head|85792|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1964|1964|Head|84076|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1965|1965|Head|82400|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1966|1966|Head|70000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1967|1967|Head|65000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1968|1968|Head|60000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1969|1969|Head|58000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1970|1970|Head|55000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1971|1971|Head|50000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1972|1972|Head|45000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1973|1973|Head|40000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1974|1974|Head|38000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1975|1975|Head|35682|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1976|1976|Head|34000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1977|1977|Head|33000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1978|1978|Head|30000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1979|1979|Head|30000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1980|1980|Head|28000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1981|1981|Head|26000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1982|1982|Head|23000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1983|1983|Head|20000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1984|1984|Head|19000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1985|1985|Head|18000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1986|1986|Head|17000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1987|1987|Head|16000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1988|1988|Head|15000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1989|1989|Head|14000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1990|1990|Head|13000|F|FAO estimate
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1991|1991|Head|6300|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1992|1992|Head|7000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1993|1993|Head|7400|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1994|1994|Head|6800|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1995|1995|Head|6000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1996|1996|Head|6600|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1997|1997|Head|6100|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1998|1998|Head|6500|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|1999|1999|Head|6500|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2000|2000|Head|4400|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2001|2001|Head|4300|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2002|2002|Head|4100|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2003|2003|Head|5200|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2004|2004|Head|5100||Official data
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2005|2005|Head|5077||Official data
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2006|2006|Head|5880|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2007|2007|Head|6048|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2008|2008|Head|7600|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2009|2009|Head|7600|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2010|2010|Head|6500|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2011|2011|Head|7700|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2012|2012|Head|8600|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2013|2013|Head|7000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2014|2014|Head|6900|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2015|2015|Head|7700|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2016|2016|Head|8000|*|Unofficial figure
